month,temperature_city1,temperature_city2,temperature_city3,precipitation_city1,precipitation_city2,precipitation_city3
2018-01-31,17.48,17.12,13.16,82.51,60.19,47.57
2018-02-28,14.31,18.89,6.36,52.86,77.13,51.6
2018-03-31,18.24,13.36,15.61,48.58,92.62,71.21
2018-04-30,22.62,12.82,4.39,79.65,101.64,69.16
2018-05-31,13.83,24.88,12.35,65.53,49.99,59.69
2018-06-30,13.83,28.14,18.76,84.28,71.64,61.76
2018-07-31,22.9,19.57,6.04,79.46,68.13,79.16
2018-08-31,18.84,26.02,7.73,68.54,63.67,51.13
2018-09-30,12.65,22.17,10.4,53.06,124.14,68.21
2018-10-31,17.71,16.13,7.99,39.7,90.12,56.97
2018-11-30,12.68,22.17,3.8,61.07,48.48,56.73
2018-12-31,12.67,29.23,10.27,87.13,102.95,76.48
2019-01-31,16.21,19.79,5.75,74.28,133.05,72.38
2019-02-28,5.43,29.39,11.89,45.09,105.81,72.2
2019-03-31,6.38,4.28,6.32,73.46,42.02,79.58
2019-04-30,12.19,24.93,16.2,77.71,67.89,60.32
2019-05-31,9.94,20.52,6.87,52.32,111.67,70.23
2019-06-30,16.57,18.21,8.71,73.07,62.31,55.35
2019-07-31,10.46,20.55,13.25,71.16,91.1,64.86
2019-08-31,7.94,8.07,5.08,47.14,99.37,58.05
2019-09-30,22.33,18.68,10.91,77.16,56.83,61.45
2019-10-31,13.87,22.14,15.23,81.22,78.51,68.93
2019-11-30,15.34,28.87,3.57,91.66,-1.03,47.73
2019-12-31,7.88,16.89,10.74,91.08,54.39,91.39
2020-01-31,12.28,15.15,11.04,42.45,73.69,44.91
2020-02-29,15.55,16.99,13.13,51.24,48.81,41.79
2020-03-31,9.25,25.49,5.05,80.3,120.81,77.37
2020-04-30,16.88,21.97,4.72,80.28,44.25,71.87
2020-05-31,12.0,16.82,12.09,80.3,69.0,69.36
2020-06-30,13.54,23.08,11.19,147.05,83.27,69.43
2020-07-31,11.99,20.58,11.0,81.42,116.03,59.82
2020-08-31,24.26,25.81,11.39,92.71,44.1,46.54
2020-09-30,14.93,15.79,7.28,89.08,109.08,61.14
2020-10-31,9.71,18.03,10.93,83.03,80.26,49.84
2020-11-30,19.11,17.65,11.17,63.69,55.46,74.63
2020-12-31,8.9,11.22,7.14,85.18,91.55,57.79
2021-01-31,16.04,21.78,17.46,54.54,84.98,47.62
2021-02-28,5.2,21.57,11.9,65.26,64.99,55.18
2021-03-31,8.36,20.03,5.23,60.29,81.75,66.19
2021-04-30,15.98,18.59,12.63,71.64,70.37,51.54
2021-05-31,18.69,11.51,6.1,116.29,82.84,47.67
2021-06-30,15.86,17.48,13.15,32.65,96.55,63.66
2021-07-31,14.42,17.94,14.63,83.73,119.65,63.67
2021-08-31,13.49,15.19,6.72,37.75,49.05,52.4
2021-09-30,7.61,19.03,13.85,60.56,133.33,52.93
2021-10-31,11.4,22.42,11.65,91.78,31.2,63.48
2021-11-30,12.7,31.32,13.29,71.29,76.21,38.28
2021-12-31,20.29,21.05,17.59,48.45,94.71,38.89
2022-01-31,16.72,21.55,9.02,55.69,87.02,49.22
2022-02-28,6.18,19.55,6.99,83.59,64.43,56.8
2022-03-31,16.62,8.49,6.44,55.39,74.8,64.66
2022-04-30,13.07,19.84,6.74,74.33,67.67,82.13
2022-05-31,11.62,20.36,9.69,70.91,65.27,72.86
2022-06-30,18.06,34.78,11.36,56.97,101.24,57.6
2022-07-31,20.15,18.85,11.11,112.88,88.93,59.71
2022-08-31,19.66,21.81,13.31,82.68,62.68,44.96
2022-09-30,10.8,19.79,10.05,29.5,102.49,59.72
2022-10-31,13.45,12.99,15.81,73.73,87.68,55.67
2022-11-30,16.66,26.86,8.94,56.76,100.32,64.84
2022-12-31,19.88,24.51,20.88,87.05,95.74,47.59
