month,sales,ad_expenditure,customer_reviews,website_traffic
31/1/2018,22483.57,4281.24,222,8639.95
28/2/2018,19308.68,4721.51,354,10464.51
31/3/2018,23238.44,3340.5,393,10586.14
30/4/2018,27615.15,3205.69,379,8571.3
31/5/2018,18829.23,6218.79,424,13731.55
30/6/2018,18829.32,6969696969,471,10947.67
31/7/2018,6,4891.98,197,
31/8/2018,23837.17,6505.3,,11313.11
30/9/2018,17652.63,5542.45,494,8050.64
31/10/2018,22712.8,4032.32,339,11574.17
30/11/2018,17682.91,5542.09,243,12317.19
31/12/2018,,7307.05,196,8358.64
31/1/2019,21209.81,4946.26,300,11926.75
28/2/2019,10433.6,7346.97,223,10825.56
31/3/2019,11375.41,1070.38,286,
30/4/2019,17188.56,6232.85,425,13793.59
31/5/2019,14935.84,5130.57,448,9509.22
30/6/2019,21571.24,4551.49,358,8492.53
31/7/2019,15459.88,5137.64,420420420,8220.97
31/8/2019,7,2018.65,351,8368.38
30/9/2019,27328.24,4670.49,445,9845.8
31/10/2019,18871.12,5535.67,246,10682.3
30/11/2019,20337.64,3,247,4
31/12/2019,12876.26,4222.59,451,11654.37
31/1/2020,17278.09,3787.26,298,10026
29/2/2020,20554.61,4247.36,407,12907.07
31/3/2020,14245.03,6373.1,227,6969696969
30/4/2020,21878.49,5493.13,138,15440.34
31/5/2020,16996.81,4205.36,437,11251.33
30/6/2020,18541.53,5769.9,459,8285.68
31/7/2020,16991.47,5145.62,228,7858.22
31/8/2020,29261.39,,366,
30/9/2020,19932.51,3946.92,250,9553.07
31/10/2020,14711.45,4508.51,397,11428
30/11/2020,24112.72,4411.84,198,10946.48
31/12/2020,,2804.73,362,9854.34
31/1/2021,21044.32,5444.18,351,8306.41
28/2/2021,10201.65,5391.58,243,6970.31
31/3/2021,13359.07,5007.67,,9106.97
30/4/2021,20984.31,4648.12,211,11712.8
31/5/2021,23692.33,2876.94,159,10428.19
30/6/2021,20856.84,4369.03,468,7508.52
31/7/2021,19421.76,4485.93,101,10346.36
31/8/2021,18494.48,3796.58,484,10770.63
30/9/2021,12607.39,4758.07,403,8232.29
31/10/2021,16400.78,5606.08,353,10307.45
30/11/2021,17696.81,7829.28,239,10116.42
31/12/2021,25285.61,5261.87,136,7714.06
31/1/2022,21718.09,5386.33,259,10715.57
28/2/2022,11184.8,4888.33,108,11121.57
31/3/2022,21620.42,2121.84,3,12166.1
30/4/2022,18074.59,,198,12107.6
31/5/2022,16615.39,5090.35,246,7244.66
30/6/2022,23058.38,8694.86,403,8124.35
31/7/2022,25155,4711.46,307,11030.07
31/8/2022,24656.4,5452.32,230,11027.57
30/9/2022,15803.91,4947.93,251,11030.1
31/10/2022,18453.94,3246.98,153,17705.46
30/11/2022,21656.32,6714.23,219,11141.78
31/12/2022,24877.73,6127.9,260,12271.13
