matrix_number,attendance_rate,study_hours,assignment_scores,final_exam_score
M1000,77.98,8.4,89.7,52.8
M1001,95.03,9.4,75.1,59.9
M1002,89.28,10.2,78.8,696969
M1003,100000,6.2,74.6,35.2
M1004,66.24,9.6,59.8,53.6
M1005,68.77,10.7,86.1,59.8
M1006,92.57,13,64,66.7
M1007,83.64,9,51.2,52.2
M1008,84.04,8.4,82.3,49.3
M1009,88.32,9,58.9,53.7
M1010,72.85,11.8,97,60.5
M1011,98.5,10.7,97.7,59.4
M1012,85.4,8.9,95.7,45.5
M1013,88.49,11,68.5,59.3
M1014,67.27,10.2,50.8,57.6
M1015,72.5,11.9,696969,60.3
M1016,72.17,8.6,71.4,
M1017,80.99,9.3,98.3,57.6
M1018,77.28,9.2,98.2,51.4
M1019,74.65,7.1,92.7,47.2
M1020,82.5,10.6,64.7,53.4
M1021,,10.5,69.3,51.7
M1022,80.2,10,92.6,53.6
M1023,71.43,9.5,65.8,44
M1024,65.2,7.2,58.5,39.6
M1025,77.7,9.2,77.8,57.8
M1026,87.99,9.3,96.8,60.2
M1027,1,8.4,,46.8
M1028,85.7,9.7,78.5,59.2
M1029,84.1,10.8,54.9,55.5
M1030,84.3,,80.8,53.4
M1031,82.2,10.3,99.5,57
M1032,82.2,10.5,57,58
M1033,97.96,9.9,75.9,45.6
M1034,69.9,6.2,93.9,37.5
M1035,92.34,9.9,87,47.7
M1036,72.18,10.1,84.9,57.6
M1037,96.8,14.9,85.1,67.9
M1038,87.37,9.6,68,52.2
M1039,77.61,10.6,64.7,58.8
M1040,64.88,696969,90.5,55.1
M1041,72.8,7.7,90.5,39.9
M1042,91.5,12.3,93.4,65.4
M1043,86.7,11.5,95.7,57.2
M1044,85.7,11.6,75.6,58.3
M1045,70.1,8.2,75.1,49.2
M1046,92.6,12.8,89.9,57.6
M1047,69.8,7.2,,37.9
M1048,86.7,11.2,85.1,59.6
M1049,87.7,14.4,89.8,66.4
M1050,79.9,8.1,94.5,45.3
M1051,85.7,8.9,66.9,49.9
M1052,97.66,10.2,68.8,62.5
M1053,95.3,9,54.7,53.4
M1054,70.92,6.9,78.9,37
M1055,96.87,10.1,51.8,59.6
M1056,63.54,7.9,73.3,45.2
M1057,82.3,10.9,77.1,51.9
M1058,61.81,8.2,64.3,45.6
M1059,95.5,13.1,79.5,63.1
M1060,75.55,8.4,51.5,44.9
M1061,70.85,9.4,51.9,42.6
M1062,93.15,11.6,91.1,61.5
M1063,67.4,7.5,68,39.7
M1064,82.3,10.5,56.4,56.2
M1065,93.8,12.6,76.1,62.5
M1066,65.64,6.8,88.5,39.4
M1067,92.09,10.4,60.8,49.6
M1068,62.98,10.5,81.1,48.9
M1069,99.48,11.6,54.3,60.2
M1070,69.89,7.5,52.6,40.5
M1071,67.95,7.4,76.6,40.2
M1072,62.22,11,77,56.3
M1073,92.62,10.6,81.9,58.3
M1074,88.27,10.5,86.3,56.5
M1075,89.16,10.7,98.8,58.5
M1076,90.85,8.6,75.8,45.6
M1077,62.96,10.5,66.1,56.7
M1078,74.34,10.6,89.8,58.4
M1079,64.63,8.6,63.5,
M1080,97.53,13.7,71.9,65.8
M1081,84.93,10.9,53.9,51.4
M1082,73.24,7.6,51.3,42.5
M1083,62.54,11.3,98.1,59.8
M1084,72.44,8.1,91.8,48.4
M1085,73.01,11.6,84.8,53.2
M1086,93.23,12.3,70.4,62.5
M1087,70.2,8.4,58.7,44.1
M1088,95.49,11.9,57.8,59.7
M1089,78.89,10.8,62.5,47.9
M1090,64.78,11.6,77.5,58.7
M1091,96.8,13.8,85.7,62.7
M1092,89.2,9.5,83,52.2
M1093,82.45,8.5,64,46.3
M1094,85.84,8.2,97.7,47.8
M1095,79.75,8.4,86.9,49.9
M1096,80.91,9.8,77.7,55.8
M1097,77.1,10.7,80.6,58.9
M1098,71.5,10.6,71,57.9
M1099,90.32,11.7,62.4,60.2
